Total cycle count,Time,Extension,Load
,(s),(mm),(N)
"1.00000","1.41400","0.17991","0.87202"
"1.00000","1.41900","0.20637","1.63309"
"1.00000","1.42400","0.23259","2.42727"
"1.00000","1.42900","0.25856","3.26789"
"1.00000","1.43400","0.28432","4.14849"
"1.00000","1.43900","0.30991","5.04617"
"1.00000","1.44400","0.33536","5.96870"
"1.00000","1.44900","0.36069","6.90015"
"1.00000","1.45400","0.38593","7.83858"
"1.00000","1.45900","0.41111","8.80357"
"1.00000","1.46400","0.43623","9.77070"
"1.00000","1.46900","0.46133","10.75489"
"1.00000","1.47400","0.48641","11.74292"
"1.00000","1.47900","0.51149","12.73258"
"1.00000","1.48400","0.53657","13.73570"
"1.00000","1.48900","0.56164","14.73129"
"1.00000","1.49400","0.58671","15.73252"
"1.00000","1.49900","0.61177","16.73730"
"1.00000","1.50400","0.63683","17.73346"
"1.00000","1.50900","0.66189","18.74521"
"1.00000","1.51400","0.68695","19.75923"
"1.00000","1.51900","0.71201","20.78819"
"1.00000","1.52400","0.73708","21.82536"
"1.00000","1.52900","0.76215","22.86534"
"1.00000","1.53400","0.78721","23.92943"
"1.00000","1.53900","0.81227","25.00107"
"1.00000","1.54400","0.83732","26.08291"
"1.00000","1.54900","0.86236","27.17769"
"1.00000","1.55400","0.88740","28.26871"
"1.00000","1.55900","0.91244","29.36487"
"1.00000","1.56400","0.93747","30.45685"
"1.00000","1.56900","0.96249","31.54919"
"1.00000","1.57400","0.98750","32.64480"
"1.00000","1.57900","1.01251","33.73536"
"1.00000","1.58400","1.03753","34.83990"
"1.00000","1.58900","1.06255","35.95058"
"1.00000","1.59400","1.08757","37.06685"
"1.00000","1.59900","1.11260","38.19507"
"1.00000","1.60400","1.13761","39.32331"
"1.00000","1.60900","1.16262","40.46504"
"1.00000","1.61400","1.18763","41.61095"
"1.00000","1.61900","1.21263","42.76015"
"1.00000","1.62400","1.23764","43.91674"
"1.00000","1.62900","1.26264","45.06795"
"1.00000","1.63400","1.28765","46.22265"
"1.00000","1.63900","1.31266","47.37070"
"1.00000","1.64400","1.33766","48.52636"
"1.00000","1.64900","1.36265","49.68785"
"1.00000","1.65400","1.38765","50.85331"
"1.00000","1.65900","1.41264","52.02806"
"1.00000","1.66400","1.43763","53.20979"
